H,T0,T1,T2
200,1.06,0.95,0.86
200,1.06,0.96,0.96
200,0.96,1.01,0.93
200,1.03,0.98,0.83
200,0.91,0.96,0.91
200,1.08,0.96,0.83
200,0.98,1.05,0.85
200,1.05,0.98,0.88
200,1.11,0.93,0.91
200,1.0,0.96,0.78
280,1.25,1.2,0.96
280,1.11,1.2,0.98
280,1.1,1.13,1.1
280,1.16,1.13,1.05
280,1.21,1.21,1.01
280,1.16,1.3,0.98
280,1.21,1.21,0.98
75,0.76,0.63,0.55
75,0.8,0.55,0.45
75,0.7,0.63,0.51
75,0.65,0.68,0.53
75,0.68,0.6,0.53
300,1.36,1.28,1.0
300,1.26,1.31,1.01
300,1.44,1.23,1.05
300,1.36,1.18,1.1
300,1.3,1.26,1.11
300,1.4,1.33,1.03
300,1.38,1.22,1.11
550,2.17,1.53,1.46
