H,T0,T1
200,1.06,0.95
200,1.06,0.96
200,0.96,1.01
200,1.03,0.98
200,0.91,0.96
200,1.08,0.96
200,0.98,1.05
200,1.05,0.98
200,1.11,0.93
200,1.0,0.96
280,1.25,1.2
280,1.11,1.2
280,1.1,1.13
280,1.16,1.13
280,1.21,1.21
280,1.16,1.3
280,1.21,1.21
75,0.76,0.63
75,0.8,0.55
75,0.7,0.63
75,0.65,0.68
75,0.68,0.6
300,1.39,1.28
300,1.29,1.31
300,1.47,1.23
300,1.39,1.18
300,1.33,1.26
300,1.43,1.33
300,1.41,1.22
550,2.17,1.53
490,1.93,1.65
490,1.93,1.56
490,1.93,1.55
490,1.89,1.6
490,1.99,1.53
490,2.07,1.55
490,2.27,1.48
